,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,2,RF,AUC,50,None,1.0,0.9265,0.02929544448852539,0.005825996398925781,0.029295859999990626,0.005827790000012101,,
0,classification,heart,2,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.32094720344185773, n_estimators=50)",1.0,0.92325,0.04361438751220703,0.006849050521850586,0.47422310999996853,0.07232843000002731,2.2063655853271484,10.888396699999987
0,classification,heart,2,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=14, n_estimators=50)",0.9999999999999999,0.9175000000000001,0.04308009147644043,0.005671024322509766,0.441644599999961,0.028102369999999155,2.1968114376068115,10.868083800999955
0,classification,heart,2,HS-RF,AUC,50,25.0,0.992125,0.931,0.052329301834106445,0.005479097366333008,0.052330950000055054,0.005480360000035489,0.9101443290710449,0.9252958300000387
0,classification,heart,2,RF,AUC,75,None,1.0,0.9339999999999999,0.042742013931274414,0.008052587509155273,0.04274269000001141,0.008053410000002259,,
0,classification,heart,2,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.7505712323629886, n_estimators=75)",1.0,0.87225,0.06804299354553223,0.007825613021850586,0.5691100100000313,0.0078261300000122,2.9401049613952637,11.449592260000031
0,classification,heart,2,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=21, n_estimators=75)",1.0,0.9265,0.0753786563873291,0.008185863494873047,0.5922862300000133,0.008186379999983728,2.897029399871826,10.733473239999967
0,classification,heart,2,HS-RF,AUC,75,0.1,1.0,0.925,0.07925128936767578,0.008192300796508789,0.07925379999994675,0.00819288000002416,1.3807191848754883,1.3807290099999818
0,classification,heart,2,RF,AUC,100,None,1.0,0.9325,0.0580286979675293,0.010743141174316406,0.05802955000001475,0.010743929999989632,,
0,classification,heart,2,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.18246760824206562),1.0,0.9202499999999999,0.0750727653503418,0.010605573654174805,0.5770877400000245,0.010606469999970614,3.631971597671509,11.981426521000003
0,classification,heart,2,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=1),0.9138125,0.9345,0.09445023536682129,0.010015726089477539,0.4956722599999921,0.009980689999906645,3.5972495079040527,12.334728320000067
0,classification,heart,2,HS-RF,AUC,100,10.0,0.9991249999999999,0.93,0.1061406135559082,0.010644197463989258,0.10614243999998507,0.010644860000070366,1.7980387210845947,1.7978533699999844
0,classification,heart,2,RF,AUC,300,None,1.0,0.9365000000000001,0.17188572883605957,0.03154182434082031,0.17188686999998026,0.03154355000003761,,
0,classification,heart,2,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.940271358318112, n_estimators=300)",1.0,0.8547499999999999,0.23143219947814941,0.030934572219848633,0.6457390900000064,0.030938140000102976,9.11588716506958,17.688081321000027
0,classification,heart,2,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=3, n_estimators=300)",0.959875,0.934,0.20236897468566895,0.02970266342163086,0.6804771500000015,0.029703850000032617,9.038823366165161,17.594818251000106
0,classification,heart,2,HS-RF,AUC,300,25.0,0.9933750000000001,0.9295,0.3219258785247803,0.03163862228393555,0.3219362499999079,0.03164048000007824,5.418238878250122,5.41940790000001
0,classification,heart,2,RF,AUC,500,None,1.0,0.93625,0.2890965938568115,0.052637338638305664,0.2890970500000094,0.05263946100001249,,
