task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,1,DT,AUC,11,12,None,0.9316875,0.7785000000000001,0.00048828125,0.000148773193359375,0.0004881199999999808,0.00014908999999985184,,
classification,heart,1,HS (CART),AUC,11,12,50.0,0.9189375000000001,0.7989999999999999,0.00022864341735839844,0.00011944770812988281,0.00022929000000004862,0.00012047999999964532,0.017853498458862305,0.017855229999999445
classification,heart,1,DT,AUC,14,15,None,0.9408125,0.6955000000000001,0.0004169940948486328,0.00011897087097167969,0.0004164299999995791,0.00011957999999978597,,
classification,heart,1,HS (CART),AUC,14,15,100.0,0.9190625000000001,0.7965,0.00026416778564453125,0.00011944770812988281,0.0002647600000003081,0.00011982000000010373,0.01818251609802246,0.018183630000000228
classification,heart,1,DT,AUC,19,20,None,0.9795625,0.7472500000000001,0.00044345855712890625,0.0001227855682373047,0.00044335000000028657,0.00012308999999977033,,
classification,heart,1,HS (CART),AUC,19,20,10.0,0.9659375,0.81375,0.0003292560577392578,0.00012302398681640625,0.00032994999999935715,0.0001234999999999431,0.01952838897705078,0.01952992000000009
classification,heart,1,DT,AUC,23,24,None,0.993375,0.7057500000000001,0.0005545616149902344,0.0001475811004638672,0.0005541499999992539,0.00014838999999966518,,
classification,heart,1,HS (CART),AUC,23,24,0.1,0.9933749999999999,0.76025,0.00037860870361328125,0.00012493133544921875,0.00037960000000047955,0.0001256500000001992,0.019837617874145508,0.019838299999999975
classification,heart,1,DT,AUC,27,28,None,0.9981875,0.6990000000000001,0.0004999637603759766,0.00013971328735351562,0.0004995000000000971,0.00014002999999984667,,
classification,heart,1,HS (CART),AUC,27,28,50.0,0.9796874999999999,0.8079999999999999,0.0004317760467529297,0.000133514404296875,0.0004324799999997353,0.00013450999999964353,0.020198345184326172,0.020200149999999972
classification,heart,1,DT,AUC,29,30,None,0.9992500000000001,0.7060000000000002,0.0004975795745849609,0.0001423358917236328,0.0004974200000003037,0.0001427400000002521,,
classification,heart,1,HS (CART),AUC,29,30,10.0,0.99675,0.806,0.00045299530029296875,0.0001304149627685547,0.00045333000000002954,0.00013105000000024347,0.02089405059814453,0.021114230000000234
classification,heart,1,DT,AUC,31,32,None,0.999875,0.7000000000000002,0.0005519390106201172,0.0001556873321533203,0.0005518099999992643,0.00015631000000038142,,
classification,heart,1,HS (CART),AUC,31,32,10.0,0.9985,0.798,0.00046515464782714844,0.0001201629638671875,0.00046537999999962665,0.00012092999999957499,0.020140647888183594,0.020140959999999986
classification,heart,2,DT,AUC,1,2,None,0.77875,0.7,0.0002968311309814453,0.0001366138458251953,0.00029708000000017165,0.0001369900000005586,,
