,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,6,BART,AUC,300,None,0.86875,0.875,20.953087329864502,5.23063063621521,0.7492894620000072,5.230579245000001,,
0,classification,heart,6,BART,AUC,500,None,0.86875,0.875,34.63175415992737,8.91456413269043,1.4253658169999994,8.914473082,,
0,classification,heart,7,BART,AUC,10,None,0.8300000000000001,0.845,0.7156786918640137,0.17753982543945312,0.05653380600000446,0.17756271799999013,,
0,classification,heart,7,BART,AUC,25,None,0.8400000000000001,0.8300000000000001,1.6586785316467285,0.5139622688293457,0.03104618899999423,0.513933848999983,,
0,classification,heart,7,BART,AUC,50,None,0.8550000000000001,0.8049999999999999,3.5285887718200684,0.9012801647186279,0.2434080469999742,0.9012655429999938,,
0,classification,heart,7,BART,AUC,75,None,0.8437500000000001,0.855,5.014876127243042,1.3188896179199219,0.1757032569999808,1.318872497000001,,
0,classification,heart,7,BART,AUC,100,None,0.8487500000000001,0.8175,6.7757792472839355,1.7589774131774902,0.2846905369999888,1.758974416000001,,
0,classification,heart,7,BART,AUC,300,None,0.8550000000000001,0.8424999999999999,21.537124156951904,5.309595823287964,0.7967672919999984,5.309579595999992,,
0,classification,heart,7,BART,AUC,500,None,0.85375,0.8424999999999999,34.869778633117676,8.582658767700195,1.5081457009999895,8.582600781999986,,
0,classification,heart,8,BART,AUC,10,None,0.8,0.7375,0.6836082935333252,0.1698598861694336,0.03912613099998907,0.16986033599999928,,
0,classification,heart,8,BART,AUC,25,None,0.8625,0.7925,1.8217034339904785,0.43882322311401367,0.21680925900000148,0.43882079799999474,,
0,classification,heart,8,BART,AUC,50,None,0.8574999999999999,0.7675000000000001,3.354487180709839,0.85658860206604,0.15131506000000172,0.8565123019999987,,
0,classification,heart,8,BART,AUC,75,None,0.89,0.7675000000000001,4.949998140335083,1.2702882289886475,0.1717775340000003,1.2702869139999962,,
0,classification,heart,8,BART,AUC,100,None,0.8800000000000001,0.7675000000000001,6.57705020904541,1.709181785583496,0.2867157580000139,1.7091547020000064,,
0,classification,heart,8,BART,AUC,300,None,0.89125,0.77,21.31117296218872,5.116750001907349,0.8531533020000097,5.116760174999996,,
0,classification,heart,8,BART,AUC,500,None,0.89625,0.77,35.094555377960205,8.718103647232056,1.5424073869999972,8.718044499000001,,
0,classification,heart,9,BART,AUC,10,None,0.8125000000000001,0.875,0.710543155670166,0.16914081573486328,0.05312362399999415,0.16914188500001615,,
0,classification,heart,9,BART,AUC,25,None,0.8287500000000001,0.8625,1.678473949432373,0.43378424644470215,0.03524029899998027,0.4337751879999985,,
0,classification,heart,9,BART,AUC,50,None,0.8225,0.8625,3.3261876106262207,0.8603923320770264,0.059825426999992715,0.8604122729999801,,
0,classification,heart,9,BART,AUC,75,None,0.8450000000000001,0.8775,4.991329669952393,1.3269562721252441,0.33503279900000393,1.3268639300000018,,
0,classification,heart,9,BART,AUC,100,None,0.8287500000000001,0.89,6.795120477676392,1.7102110385894775,0.2657888699999944,1.7101993629999868,,
0,classification,heart,9,BART,AUC,300,None,0.8450000000000001,0.89,20.885289907455444,5.147697925567627,0.8618279939999809,5.147597861999998,,
0,classification,heart,9,BART,AUC,500,None,0.84625,0.8775,34.6083664894104,8.963376522064209,1.5051472380000064,8.963139955999992,,
0,classification,breast-cancer,0,BART,AUC,10,None,0.6273504273504272,0.5218855218855218,0.7274818420410156,0.19541144371032715,0.05570629400000371,0.1953931830000215,,
