dataset,n_leaves,score
friedman1,4,0.4414402499589106
friedman1,4,0.397595720498119
friedman1,4,0.43290866884114965
friedman1,4,0.3750632227826137
friedman1,4,0.5826497466132956
friedman1,4,0.34776242364686094
friedman1,4,0.4342501988091476
friedman1,4,0.2264826956698942
friedman1,4,0.5647491026116181
friedman1,4,0.47197290288915894
friedman1,4,0.32910738165148257
friedman1,4,0.4917900526397143
friedman1,4,0.3519799026745467
friedman1,4,0.3876932752449591
friedman1,4,0.4901557716163253
friedman1,4,0.2798870929214323
friedman1,4,0.6006579544575347
friedman1,4,0.2804304802056916
friedman1,4,0.43833737672476714
friedman1,4,-0.04904526790180008
friedman1,4,0.2693819446397855
friedman1,4,0.41948210250019713
friedman1,4,0.42931894324619535
friedman1,4,0.0750720258147286
friedman1,4,0.48748547105823803
friedman1,4,0.5499035486480507
friedman1,4,0.2892241244644036
friedman1,4,0.19001611375687155
friedman1,4,0.24561055683688304
friedman1,4,0.34823044993155894
friedman1,4,0.5143740288957478
friedman1,4,0.20749352516961606
friedman1,4,0.40362698566647237
friedman1,4,0.34075585702736977
friedman1,4,0.4816225466457431
friedman1,4,0.23672229971314285
friedman1,4,0.45361764474013466
friedman1,4,0.37499547859460713
friedman1,4,-0.03125996290174338
friedman1,4,0.2416111465822468
friedman1,4,0.46839657256084133
friedman1,4,0.15245103112968905
friedman1,4,0.1865224752211716
friedman1,4,0.4450019224114261
friedman1,4,0.17678534314426408
friedman1,4,0.23245344767615272
friedman1,4,0.30835679527664095
friedman1,4,0.44171154156177195
friedman1,4,0.3632125272566542
friedman1,4,0.38832275691702844
friedman1,4,0.19028133001737946
friedman1,4,0.4160046125068828
friedman1,4,0.37184065203716155
friedman1,4,0.35737036217604135
friedman1,4,0.2904975842245463
friedman1,4,0.3802141825134865
friedman1,4,0.4394621139113739
friedman1,4,0.39033092912731315
friedman1,4,0.4442333514215575
friedman1,4,0.5526303569432105
friedman1,4,0.13444719442472275
friedman1,4,0.3202240342610704
friedman1,4,0.3154705091304131
friedman1,4,0.3028714602180014
friedman1,4,0.4082573238474848
friedman1,4,0.3552797155990217
friedman1,4,0.3485684266126081
friedman1,4,0.16747207508265383
friedman1,4,0.20832347421593056
friedman1,4,0.3084374818562824
friedman1,4,0.3896718143148973
friedman1,4,0.3569987400154683
friedman1,4,0.46974033589086683
friedman1,4,0.3216894763867306
friedman1,4,0.34232508746070855
friedman1,4,0.402134334777163
friedman1,4,0.401941991222989
friedman1,4,0.45462402513293965
friedman1,4,0.3024202969432793
friedman1,4,0.23800854172626462
friedman1,4,0.41260188149908794
friedman1,4,0.28478946265529503
friedman1,8,0.4803425204563717
friedman1,8,0.5215224687676018
friedman1,8,0.5369892623138138
friedman1,8,0.48175624986298593
friedman1,8,0.49366998367259496
friedman1,8,0.5788612072567298
friedman1,8,0.5989366849313913
friedman1,8,0.5123457229325543
friedman1,8,0.5004626539413713
friedman1,8,0.44700626190230386
friedman1,8,0.7053681767287185
friedman1,8,0.48696378545151575
friedman1,8,0.31345030727545975
friedman1,8,0.6298455530210478
friedman1,8,0.5235174004860611
friedman1,8,0.5536978607164844
friedman1,8,0.519602532226631
friedman1,8,0.6318958998139657
friedman1,8,0.535544552309394
