dataset,n_leaves,score
heart,8,0.8772321428571429
heart,8,0.7430830039525692
heart,8,0.7461423593827774
heart,8,0.8025974025974026
heart,8,0.810515873015873
heart,8,0.797283950617284
heart,8,0.7788223651657595
heart,8,0.82625
heart,8,0.8676619433198381
heart,8,0.7880777310924368
heart,8,0.728
heart,8,0.7290095525389643
heart,8,0.7596726190476191
heart,8,0.8214814814814815
heart,8,0.8422100547536087
heart,8,0.787353391126976
heart,8,0.8319999999999999
heart,8,0.8025729836714499
heart,8,0.7093319734829168
heart,8,0.8295171727227475
heart,8,0.7383603238866397
heart,8,0.8296787353391126
heart,8,0.7783094098883573
heart,8,0.7964161274265804
heart,8,0.7877922077922077
heart,8,0.816883116883117
heart,8,0.8487654320987654
heart,8,0.74125
heart,8,0.7164031620553359
heart,8,0.7603285216525634
heart,8,0.7171945701357466
heart,8,0.7793726741095163
heart,8,0.8235452586206897
heart,8,0.8552500000000001
heart,8,0.7717770034843205
heart,8,0.8006072874493926
heart,8,0.841038961038961
heart,8,0.7971627675460428
heart,8,0.8549522373051786
heart,8,0.7525977238990598
heart,8,0.8058035714285716
heart,8,0.8134741075917546
heart,8,0.7787698412698412
heart,8,0.8517786561264822
heart,8,0.8279012345679013
heart,8,0.8328305681246857
heart,8,0.85375
heart,8,0.8911943319838056
heart,8,0.85721570627231
heart,8,0.8606271777003485
heart,8,0.8072833599149389
heart,8,0.6940457203615098
heart,8,0.7961309523809523
heart,8,0.8357391737182678
heart,8,0.875269396551724
heart,8,0.8438914027149321
heart,8,0.7905138339920948
heart,8,0.8689271255060729
heart,8,0.8163636363636364
heart,8,0.78397212543554
heart,8,0.8043047996041564
heart,8,0.805541810984661
heart,8,0.8149703557312253
heart,8,0.7727499999999999
heart,8,0.8550101214574899
heart,8,0.8720462543991956
heart,12,0.7476356396217023
heart,12,0.8996913580246914
heart,12,0.8128505864354922
heart,12,0.8379629629629628
heart,12,0.7626518218623483
heart,12,0.86925
heart,12,0.8594755071746659
heart,12,0.8125
heart,12,0.8165485829959515
heart,12,0.7164031620553359
heart,12,0.73156853043048
heart,12,0.8300149328023891
heart,12,0.7894736842105262
heart,12,0.7625
heart,12,0.8169223156853043
heart,12,0.6587854654056744
heart,12,0.8596837944664031
heart,12,0.76925
heart,12,0.8742690058479532
heart,12,0.8664935064935064
heart,12,0.8052983539094649
heart,12,0.8417122946739672
heart,12,0.7699579831932772
heart,12,0.8700105042016807
heart,12,0.7915
heart,12,0.809535951045385
heart,12,0.7666996536368135
heart,12,0.7959486166007905
heart,12,0.819838056680162
heart,12,0.7563087580405741
heart,12,0.8815
heart,12,0.8091666666666666
heart,12,0.757338056680162
heart,12,0.8524797570850202
heart,12,0.8347436535589846
heart,12,0.801440329218107
heart,12,0.7392207792207791
heart,12,0.7554047259929613
heart,12,0.8542857142857144
heart,12,0.7726373082632361
heart,12,0.7496229260935143
heart,12,0.8561473369835739
heart,12,0.8646098929117798
heart,12,0.6977880658436214
heart,12,0.7692901234567902
heart,12,0.7834008097165992
heart,12,0.819838056680162
heart,12,0.859
heart,12,0.7986660079051383
heart,12,0.8279936974789915
heart,12,0.8355654761904763
heart,12,0.8205971659919029
heart,12,0.8254048582995952
heart,12,0.8444940476190477
heart,12,0.8208512931034483
heart,12,0.792931806869089
heart,12,0.8390000000000001
heart,12,0.9186162269785962
heart,12,0.7297297297297298
heart,12,0.8241558441558441
heart,12,0.782114624505929
heart,12,0.8195619711299154
heart,12,0.7626488095238095
heart,12,0.8459432553509207
heart,12,0.8455
heart,12,0.7901298701298701
heart,12,0.7783275606135577
heart,12,0.8122529644268774
heart,12,0.7997402597402596
heart,12,0.8482916879143295
heart,12,0.8110177865612648
heart,12,0.7873023715415021
heart,12,0.8642533936651584
heart,12,0.7276234567901234
heart,12,0.7985
heart,12,0.7921810699588477
heart,12,0.795207509881423
heart,12,0.8315082130413141
heart,12,0.8129713423831071
heart,12,0.8310185185185186
heart,12,0.8131055583885772
heart,12,0.8143804181540031
heart,12,0.7399691358024691
heart,12,0.8515586343394359
heart,12,0.7374025974025975
heart,12,0.7897395002658162
heart,12,0.733
heart,12,0.8070262246412666
heart,12,0.8077500000000001
heart,12,0.8648648648648649
heart,12,0.8612987012987012
heart,12,0.7773279352226721
heart,12,0.7335064935064934
heart,12,0.8659079663532905
heart,12,0.7860671936758894
heart,12,0.8248391885205344
heart,12,0.8108511697361871
heart,12,0.7425411522633745
heart,12,0.8234126984126984
heart,12,0.842899554675903
heart,16,0.826388888888889
heart,16,0.82825
heart,16,0.83525
