dataset,n_leaves,score
heart,12,0.7975823045267489
heart,12,0.7908496732026143
heart,12,0.8152281746031744
heart,12,0.8357248886689758
heart,12,0.8434472208057116
heart,12,0.8139768728004023
heart,12,0.7946561108362197
heart,12,0.8576406172224986
heart,12,0.798317185109638
heart,12,0.7937252964426877
heart,12,0.8308531746031746
heart,12,0.800843253968254
heart,12,0.7363683127572016
heart,12,0.7709054923305294
heart,12,0.798859126984127
heart,12,0.8325037332005973
heart,12,0.7646761133603238
heart,12,0.8290450272142504
heart,12,0.7738095238095238
heart,12,0.8519345238095238
heart,12,0.7975308641975309
heart,12,0.8291170634920635
heart,12,0.7938988095238095
heart,12,0.7965587044534413
heart,12,0.7418478260869565
heart,12,0.8026381284221005
heart,12,0.8526400862068967
heart,12,0.7794492605813361
heart,12,0.7756061355764473
heart,12,0.9230960676953709
heart,12,0.73625
heart,12,0.8248517786561265
heart,12,0.8441558441558441
heart,12,0.7398190045248869
heart,12,0.7911924789708065
heart,12,0.8431324110671937
heart,12,0.7735191637630663
heart,12,0.8182773109243697
heart,12,0.7602880658436214
heart,12,0.825
heart,12,0.8026646556058321
heart,12,0.7308263236021771
heart,12,0.771761133603239
heart,12,0.8327569169960475
heart,12,0.79425
heart,12,0.8624443344878772
heart,12,0.6919841662543295
heart,12,0.8257839721254354
heart,12,0.801830776843147
heart,12,0.7367639782285997
heart,12,0.866649668536461
heart,12,0.7694210786739238
heart,12,0.8085106382978723
heart,12,0.7497427983539094
heart,12,0.8294237633860277
heart,12,0.8280000000000001
heart,12,0.8120856705762367
heart,12,0.8786008230452675
heart,12,0.7554012345679013
heart,12,0.7366255144032924
heart,12,0.8045522018802573
heart,12,0.845432098765432
heart,12,0.6812865497076024
heart,12,0.7796052631578948
heart,12,0.7406935237123917
heart,12,0.8194169960474309
heart,12,0.8104731525784158
heart,12,0.7657142857142858
heart,12,0.847
heart,12,0.8332503733200598
heart,12,0.8464781746031746
heart,12,0.7403217697335345
heart,12,0.8345734126984128
heart,12,0.7969138875062218
heart,12,0.8040573973280554
heart,12,0.7974308300395255
heart,12,0.8127480158730158
heart,12,0.8537852548243443
heart,16,0.77775012444002
heart,16,0.7108294930875576
heart,16,0.770748987854251
heart,16,0.8174407114624507
heart,16,0.8036437246963564
heart,16,0.8370445344129555
heart,16,0.79100790513834
heart,16,0.8482500000000001
heart,16,0.8464052287581699
heart,16,0.9072420634920636
heart,16,0.6917389087200408
heart,16,0.7513607125185551
heart,16,0.797037037037037
heart,16,0.8292984189723321
heart,16,0.844449975111996
heart,16,0.7280040221216691
heart,16,0.8394268774703557
heart,16,0.7672064777327935
heart,16,0.8152499999999999
heart,16,0.8899999999999999
heart,16,0.7835288118306987
heart,16,0.7972972972972973
heart,16,0.7989049278247884
heart,16,0.8353174603174603
heart,16,0.7552083333333333
heart,16,0.7715773809523809
heart,16,0.8698122529644269
heart,16,0.7551440329218106
heart,16,0.765873015873016
heart,16,0.8214814814814814
heart,16,0.8171936758893281
heart,16,0.7712450592885375
heart,16,0.8041497975708501
heart,16,0.8342391304347826
heart,16,0.8170000000000001
heart,16,0.852371239163692
heart,16,0.7820512820512822
heart,16,0.7645594823295171
heart,16,0.8142292490118577
heart,16,0.8499503968253967
heart,16,0.7272498743086979
heart,16,0.808051948051948
heart,16,0.8109846610588819
heart,16,0.7966650074664011
heart,16,0.7621920563097033
heart,16,0.8955342902711324
heart,16,0.8348416289592762
heart,16,0.8340773809523809
heart,16,0.8252890899949723
heart,16,0.8286943319838057
heart,16,0.8422499999999999
heart,16,0.7985
heart,16,0.842885872297637
heart,16,0.84735279564572
heart,16,0.8469742063492064
heart,16,0.8227974116475859
heart,16,0.861463133640553
heart,16,0.8087944664031621
heart,16,0.7296626984126985
heart,16,0.8168831168831168
heart,16,0.806184012066365
heart,16,0.7916883116883118
heart,16,0.8247863247863249
heart,16,0.7864583333333335
heart,16,0.7342885872297638
heart,16,0.7835968379446642
heart,16,0.8342682304946456
heart,16,0.8278162055335968
heart,16,0.7641509433962265
heart,16,0.7601686507936506
heart,16,0.8705379587732529
heart,16,0.8547748639287481
heart,16,0.8627450980392156
heart,16,0.8046558704453441
heart,16,0.8348051948051949
heart,16,0.8461921353907417
heart,16,0.7700617283950617
heart,16,0.8119747899159664
heart,16,0.8865000000000001
heart,16,0.76843146956952
heart,16,0.7988683127572016
heart,16,0.7576581027667983
heart,16,0.85025
heart,16,0.734189723320158
heart,16,0.8021618903971846
heart,16,0.8426368952684742
heart,16,0.8760683760683761
heart,16,0.8569909622541201
heart,16,0.7765231092436975
heart,16,0.8090054428500741
heart,16,0.77825
heart,16,0.7881481481481482
heart,16,0.7853260869565217
heart,16,0.8079012345679013
heart,16,0.7230000000000001
heart,16,0.85875
heart,16,0.7860671936758895
heart,16,0.7886282508924018
heart,16,0.7870553359683794
heart,16,0.7807539682539683
heart,20,0.8674089068825911
heart,20,0.7646753246753247
heart,20,0.8317307692307692
heart,20,0.8297660527625683
heart,20,0.7483918852053438
heart,20,0.8552696684809499
heart,20,0.7591403162055336
heart,20,0.7823886639676112
heart,20,0.7447730749617543
heart,20,0.8112320633349827
heart,20,0.7110502737680439
heart,20,0.7819810851169736
heart,20,0.767297162767546
heart,20,0.83175
heart,20,0.7817998994469584
heart,20,0.8631687242798354
heart,20,0.8184523809523809
heart,20,0.822117763483424
heart,20,0.833836098541981
heart,20,0.7595249876298862
heart,20,0.8246457489878544
heart,20,0.83710407239819
heart,20,0.8253676470588235
heart,20,0.833248987854251
heart,20,0.8233024691358024
heart,20,0.8172448466566113
heart,20,0.7940283400809717
heart,20,0.8495794161306284
heart,20,0.8805932629462041
heart,20,0.8149703557312253
heart,20,0.8812499999999999
heart,20,0.846096837944664
heart,20,0.8466599190283401
heart,20,0.8414074451810301
heart,20,0.8990311065782763
heart,20,0.8717885375494071
heart,20,0.8193130910900946
heart,20,0.782
heart,20,0.8490846115784265
heart,20,0.8367456896551724
heart,20,0.8061740890688259
heart,20,0.8149703557312253
heart,20,0.83975
heart,20,0.81375
heart,20,0.7983630952380951
heart,20,0.7948148148148149
heart,20,0.8400000000000001
heart,20,0.7711323763955343
heart,20,0.7195308516063234
heart,20,0.7527834008097165
heart,20,0.8369565217391304
heart,20,0.8432539682539681
heart,20,0.8225
heart,20,0.8595679012345679
heart,20,0.8247863247863247
heart,20,0.7678571428571428
heart,20,0.7342857142857143
heart,20,0.8159977388355004
heart,20,0.7917542016806722
heart,20,0.8125956144824069
heart,20,0.8019753086419753
heart,20,0.8576623376623377
heart,20,0.8332508659079663
heart,20,0.819701646090535
heart,20,0.8770410687778328
heart,20,0.7525925925925925
heart,20,0.8446313706086095
heart,20,0.8420781893004115
heart,20,0.814380418154003
heart,20,0.8087797619047619
heart,20,0.7352795645719941
heart,20,0.79675
heart,20,0.85825
heart,20,0.873
heart,20,0.845148315736551
heart,20,0.8782327586206896
heart,20,0.858490566037736
heart,20,0.8335
heart,20,0.810851169736187
heart,20,0.924333836098542
heart,20,0.8113888888888889
heart,20,0.7465415019762845
heart,20,0.7819989801121876
heart,20,0.7496266799402689
heart,20,0.7325344212136665
heart,20,0.8085106382978724
heart,20,0.7259424603174603
heart,20,0.70075
heart,20,0.8515
heart,20,0.8248272195640618
heart,20,0.7149209486166007
heart,20,0.87225
heart,20,0.8390376984126985
heart,20,0.8748114630467572
heart,20,0.8415178571428571
heart,20,0.8392234942757592
heart,20,0.74325
heart,20,0.8972463029066804
