task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,juvenile,0,HS-RF,AUC,100,0.1,1.0,0.6771260791650371,0.4920580387115478,0.0347986221313476,0.492080030000011,0.0347990199999799,6.637258768081665,6.637385919999986
classification,juvenile,0,BART,AUC,100,None,0.7034540884049288,0.6556536865270002,36.0929172039032,61.44486451148987,3.202943081000001,61.43946681599999,,
classification,ionosphere,0,RF,AUC,10,None,1.0,0.8923809523809523,0.0115725994110107,0.0021090507507324,0.0117398499999978,0.002109809999979,,
classification,ionosphere,0,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.16018028670435205, n_estimators=10)",0.9940476190476192,0.901904761904762,0.0301699638366699,0.0017151832580566,0.3620181400000035,0.0205898600000011,1.1209299564361572,10.016559020000017
classification,ionosphere,0,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=7, n_estimators=10)",0.9788095238095236,0.9376190476190476,0.010387897491455,0.0017967224121093,0.1246286899999802,0.0215755700000102,1.2110133171081543,10.58218992000002
classification,ionosphere,0,HS-RF,AUC,10,0.1,0.9933333333333334,0.8752380952380953,0.0100951194763183,0.0013544559478759,0.0100901300000089,0.0013549800000021,0.1974916458129882,0.7223891300000105
classification,ionosphere,0,BART,AUC,10,None,0.8809523809523809,0.7976190476190477,1.4449491500854492,0.3468985557556152,0.0802749000000062,0.3469016100000033,,
classification,ionosphere,0,RF,AUC,25,None,1.0,0.9138095238095238,0.0180974006652832,0.0029640197753906,0.018096799999995,0.0029645899999763,,
classification,ionosphere,0,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.598511463676853, n_estimators=25)",1.0,0.8766666666666667,0.0596344470977783,0.0036838054656982,0.696798350000023,0.0331655899999816,1.8559699058532717,11.392316611000012
classification,ionosphere,0,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=20, n_estimators=25)",1.0,0.919047619047619,0.0259246826171875,0.0040173530578613,0.3110703199999989,0.0482214799999951,1.5239992141723633,10.856640340000013
classification,ionosphere,0,HS-RF,AUC,25,10.0,0.9940476190476192,0.9257142857142856,0.0239903926849365,0.0029864311218261,0.0239913399999807,0.0029872100000147,0.4353463649749756,0.7779175599999917
classification,ionosphere,0,BART,AUC,25,None,0.8716666666666666,0.8095238095238095,2.148939847946167,0.8354825973510742,0.055756290000005,0.8354870000000005,,
classification,ionosphere,0,RF,AUC,50,None,0.9940476190476192,0.9057142857142858,0.0348801612854003,0.0055775642395019,0.0348804200000074,0.0055782900000167,,
classification,ionosphere,0,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.24726371005238973, n_estimators=50)",1.0,0.8885714285714286,0.0546245574951171,0.0056476593017578,0.5647090500000047,0.0112965399999893,2.825119733810425,11.923397599999989
classification,ionosphere,0,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=17, n_estimators=50)",1.0,0.9071428571428573,0.0511608123779296,0.006272554397583,0.5647245699999814,0.0155920699999967,2.400554895401001,11.870540089999992
classification,ionosphere,0,HS-RF,AUC,50,50.0,0.9609523809523808,0.9085714285714286,0.048081636428833,0.0056085586547851,0.048083250000019,0.0056095900000059,0.8316555023193359,0.8357387410000001
classification,ionosphere,0,BART,AUC,50,None,0.8716666666666666,0.8319047619047619,4.0213704109191895,1.6208345890045166,0.1876836400000172,1.6208368199999938,,
classification,ionosphere,0,RF,AUC,75,None,1.0,0.9138095238095238,0.053164005279541,0.0081574916839599,0.0531642699999963,0.0081581000000028,,
classification,ionosphere,0,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.2083285714841375, n_estimators=75)",1.0,0.9071428571428573,0.0752151012420654,0.0083374977111816,0.6668641799999762,0.0083379200000024,3.3185601234436035,11.914311259999977
classification,ionosphere,0,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=19, n_estimators=75)",1.0,0.9204761904761904,0.0718104839324951,0.007967472076416,0.7219474199999922,0.0079681800000059,3.066453695297241,12.209046100999984
classification,ionosphere,0,HS-RF,AUC,75,25.0,0.9728571428571428,0.901904761904762,0.071878433227539,0.0081710815429687,0.0718794299999956,0.0081719499999906,1.2443270683288574,1.244295109999996
classification,ionosphere,0,BART,AUC,75,None,0.8954761904761905,0.8504761904761905,5.282659769058228,2.502917766571045,0.2413169499999981,2.502880320999992,,
classification,ionosphere,0,RF,AUC,100,None,1.0,0.9138095238095238,0.0756671428680419,0.0133306980133056,0.0756619800000066,0.0133325799999965,,
classification,ionosphere,0,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.10002471301569345),1.0,0.9071428571428573,0.0853166580200195,0.0108289718627929,0.7345818999999949,0.0108286699999951,4.65269660949707,13.996431220000003
classification,ionosphere,0,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=23),1.0,0.9138095238095238,0.0919995307922363,0.0108301639556884,0.7911937900000225,0.0108313700000053,3.9008402824401855,13.367768229999996
classification,ionosphere,0,HS-RF,AUC,100,50.0,0.9728571428571428,0.8900000000000001,0.0965628623962402,0.0109918117523193,0.0965569000000527,0.0109926899999663,1.6413612365722656,1.641371620999962
classification,ionosphere,0,BART,AUC,100,None,0.9133333333333332,0.8623809523809525,6.810704469680786,3.2367424964904785,0.2659422199999994,3.236706340000012,,
classification,ionosphere,0,RF,AUC,300,None,1.0,0.9138095238095238,0.2139787673950195,0.0324480533599853,0.2139655200000447,0.0324491009999974,,
classification,ionosphere,0,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.19702729512730727, n_estimators=300)",1.0,0.9138095238095238,0.2468085289001464,0.0313525199890136,0.9107392199999822,0.0313530300000479,11.64542317390442,20.76072356100002
classification,ionosphere,0,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=19, n_estimators=300)",1.0,0.9138095238095238,0.2446122169494629,0.0311610698699951,0.7389048999999659,0.0311611600000105,9.715237855911257,18.703306521
classification,ionosphere,0,HS-RF,AUC,300,25.0,0.9788095238095236,0.9138095238095238,0.2845361232757568,0.0312585830688476,0.2845228200000065,0.0312594900000249,4.852217197418213,4.852847540000028
classification,ionosphere,0,BART,AUC,300,None,0.9252380952380952,0.8504761904761905,21.57979416847229,9.950963735580444,1.136316480000005,9.950477460999991,,
classification,ionosphere,0,RF,AUC,500,None,1.0,0.901904761904762,0.3539116382598877,0.0526714324951171,0.3539223200000378,0.0526722799999674,,
classification,ionosphere,0,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.10005336007210858, n_estimators=500)",1.0,0.9071428571428573,0.3465151786804199,0.052680492401123,1.006334339999967,0.0526813500000002,20.09717702865601,28.90544269200001
classification,ionosphere,0,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=13, n_estimators=500)",1.0,0.9138095238095238,0.3774218559265136,0.0519227981567382,1.0416597999999908,0.0519232299999998,15.5873281955719,24.444936141000028
classification,ionosphere,0,HS-RF,AUC,500,50.0,0.9728571428571428,0.9204761904761904,0.4747607707977295,0.0525839328765869,0.4747724900000207,0.0525846900000033,8.106249809265137,8.106793401000004
classification,ionosphere,0,BART,AUC,500,None,0.931190476190476,0.8623809523809525,36.09080410003662,16.39814043045044,1.9497834009999904,16.39817222100004,,
classification,ionosphere,0,RF,AUC,10,None,0.9940476190476192,0.9166666666666669,0.0074708461761474,0.0013718605041503,0.0074707100000068,0.0013724300000035,,
classification,ionosphere,0,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.21718055216722087, n_estimators=10)",1.0,0.8595238095238095,0.0111527442932128,0.0018246173858642,0.1337719800000059,0.0219144799999639,1.138434648513794,10.087877410000033
classification,ionosphere,0,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=12, n_estimators=10)",1.0,0.8557142857142858,0.01031494140625,0.0018422603607177,0.123651719999998,0.0221188900000015,1.1991887092590332,10.368157249999967
classification,ionosphere,0,HS-RF,AUC,10,50.0,0.9821428571428572,0.8742857142857143,0.0098810195922851,0.0013799667358398,0.0098816600000191,0.0013805400000137,0.1975128650665283,0.6782641799999851
classification,ionosphere,0,BART,AUC,10,None,0.933809523809524,0.7142857142857143,0.7603046894073486,0.3664109706878662,0.0707509100000152,0.3663974300000063,,
classification,ionosphere,0,RF,AUC,25,None,1.0,0.8623809523809525,0.0179305076599121,0.002974510192871,0.0179305500000168,0.0029749999999921,,
classification,ionosphere,0,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.2538340075846958, n_estimators=25)",0.9940476190476192,0.8795238095238096,0.0288312435150146,0.0039784908294677,0.3459667299999864,0.0477551799999673,1.598055362701416,10.509975622000011
classification,ionosphere,0,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=18, n_estimators=25)",1.0,0.8809523809523809,0.0253298282623291,0.0039513111114501,0.3039192599999865,0.047425110000006,1.5901196002960205,11.194708660000003
classification,ionosphere,0,HS-RF,AUC,25,25.0,0.9821428571428572,0.8795238095238096,0.0229766368865966,0.002964973449707,0.0229773400000112,0.002965510000024,0.427743911743164,0.7552815000000237
classification,ionosphere,0,BART,AUC,25,None,0.9285714285714286,0.7380952380952381,1.6876697540283203,0.816328763961792,0.0550488999999743,0.8163477299999613,,
classification,ionosphere,0,RF,AUC,50,None,1.0,0.8690476190476191,0.0354292392730712,0.0056009292602539,0.0354214399999932,0.0056013000000234,,
classification,ionosphere,0,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.21623794612249728, n_estimators=50)",1.0,0.8609523809523809,0.0548703670501709,0.0070645809173583,0.601806090000025,0.0774879900000087,2.6485965251922607,11.419511720000004
classification,ionosphere,0,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=13, n_estimators=50)",1.0,0.8728571428571429,0.0498535633087158,0.0054614543914794,0.5609335899999905,0.0109252899999887,2.2938344478607178,11.766559369999982
classification,ionosphere,0,HS-RF,AUC,50,10.0,0.988095238095238,0.8742857142857143,0.0464732646942138,0.0054793357849121,0.0464741100000196,0.0054799700000103,0.8112468719482422,0.8174348409999652
classification,ionosphere,0,BART,AUC,50,None,0.9404761904761904,0.7380952380952381,3.462960958480835,1.639493703842163,0.1962345500000424,1.6394878500000232,,
classification,ionosphere,0,RF,AUC,75,None,1.0,0.8676190476190476,0.0523622035980224,0.0079994201660156,0.0523559199999681,0.0080002199999853,,
classification,ionosphere,0,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.24809751072030417, n_estimators=75)",1.0,0.849047619047619,0.0785253047943115,0.0079879760742187,0.7402652200000261,0.0079886999999985,3.506911277770996,12.147066840000036
classification,ionosphere,0,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=7, n_estimators=75)",1.0,0.8385714285714285,0.0676624774932861,0.0080742835998535,0.725802549999969,0.0080750900000339,2.973938226699829,11.65170088100001
classification,ionosphere,0,HS-RF,AUC,75,0.1,1.0,0.8742857142857143,0.0682728290557861,0.0080716609954833,0.0682735999999977,0.0080720299999939,1.20084810256958,1.2008304200000453
classification,ionosphere,0,BART,AUC,75,None,0.921904761904762,0.7380952380952381,5.155163526535034,2.430908203125,0.245677790000002,2.4309314609999437,,
classification,ionosphere,0,RF,AUC,100,None,1.0,0.8623809523809525,0.0689020156860351,0.0104882717132568,0.0689018699999906,0.0104884699999274,,
classification,ionosphere,0,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.28821426146400475),1.0,0.8609523809523809,0.1020882129669189,0.0105388164520263,0.8021118099999285,0.0105521499999667,4.636061906814575,13.745503989999976
classification,ionosphere,0,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=30),1.0,0.8742857142857143,0.0902779102325439,0.0105385780334472,0.7894304200000306,0.0105389699999705,3.780451774597168,12.979333649999944
classification,ionosphere,0,HS-RF,AUC,100,25.0,0.9761904761904762,0.8557142857142858,0.091433048248291,0.0105299949645996,0.0914267200000722,0.0105307300000276,1.5949923992156982,1.5949394599999778
classification,ionosphere,0,BART,AUC,100,None,0.9490476190476188,0.75,6.833369016647339,3.26723575592041,0.3007809599999973,3.2672296199999664,,
classification,ionosphere,0,RF,AUC,300,None,1.0,0.8676190476190476,0.2067437171936035,0.0310022830963134,0.2067436600000292,0.0310029400000075,,
classification,ionosphere,0,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.24369208368850048, n_estimators=300)",1.0,0.8609523809523809,0.2600197792053222,0.0307414531707763,0.9587293600000066,0.0307424699999501,11.636276960372925,20.943729591999958
classification,ionosphere,0,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=30, n_estimators=300)",1.0,0.8557142857142858,0.2296755313873291,0.0309858322143554,0.9251338300000498,0.0309866199999078,9.571188688278198,19.01480006999998
classification,ionosphere,0,HS-RF,AUC,300,1.0,1.0,0.8795238095238096,0.2738189697265625,0.0311763286590576,0.2738091200000099,0.0311769800000547,4.740066766738892,4.740020151000067
classification,ionosphere,0,BART,AUC,300,None,0.955,0.7433333333333334,21.55597996711731,9.810911893844604,1.205590529999995,9.810938571000063,,
classification,ionosphere,0,RF,AUC,500,None,1.0,0.8676190476190476,0.3420047760009765,0.051645278930664,0.3419962799999894,0.0516463700000713,,
classification,ionosphere,0,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.12286441075883955, n_estimators=500)",1.0,0.8676190476190476,0.333759069442749,0.0511693954467773,0.5969393999999966,0.0511702399999194,18.385083436965942,27.56621217299994
classification,ionosphere,0,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=8, n_estimators=500)",1.0,0.8557142857142858,0.3688044548034668,0.0513381958007812,0.9093571299999894,0.0513388900000109,15.322692394256592,24.79763020100006
classification,ionosphere,0,HS-RF,AUC,500,50.0,0.9761904761904762,0.8557142857142858,0.4560482501983642,0.0513765811920166,0.4560495599999967,0.0513772099999414,7.868117809295654,7.869012930999929
classification,ionosphere,0,BART,AUC,500,None,0.955,0.7380952380952381,35.63631319999695,16.138887405395508,1.839992260000031,16.138741331999995,,
classification,ionosphere,0,RF,AUC,10,None,0.9933333333333334,0.9747619047619048,0.0077953338623046,0.0013840198516845,0.0077949100000296,0.0013844100000142,,
classification,ionosphere,0,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.9956664237330005, n_estimators=10)",0.9873809523809526,0.9428571428571428,0.0224604606628417,0.0018377304077148,0.269410789999938,0.0220628700000133,1.375382661819458,10.75887788
classification,ionosphere,0,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=13, n_estimators=10)",0.9966666666666666,0.9495238095238095,0.0108158588409423,0.0018637180328369,0.1298020500000802,0.0223738400000002,1.1845769882202148,10.304255359999956
