,task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
69,classification,heart,3,HS (CART),AUC,14,15,25.0,0.9400625,0.8245,0.0002553462982177,0.0001153945922851,0.0002557300000001,0.0001159800000003,0.0181200504302978,0.0181203300000003
70,classification,heart,3,DT,AUC,19,20,None,0.9683125,0.6894999999999999,0.0004513263702392,0.000131607055664,0.0004509500000002,0.0001322699999999,,
71,classification,heart,3,HS (CART),AUC,19,20,100.0,0.9284375,0.83325,0.0003094673156738,0.0001163482666015,0.0003098899999995,0.0001166800000005,0.0189976692199707,0.0189982400000001
72,classification,heart,3,DT,AUC,23,24,None,0.98025,0.7745,0.0004801750183105,0.0001356601715087,0.0004797999999999,0.0001361699999993,,
73,classification,heart,3,HS (CART),AUC,23,24,25.0,0.96025,0.84175,0.000375747680664,0.000119924545288,0.0003765700000002,0.0001207299999999,0.019749641418457,0.0197502300000005
74,classification,heart,3,DT,AUC,27,28,None,0.9929375,0.711,0.0005245208740234,0.000148057937622,0.0005243200000002,0.0001486399999999,,
75,classification,heart,3,HS (CART),AUC,27,28,1.0,0.9891875,0.7737499999999999,0.0004069805145263,0.0001165866851806,0.0004070799999995,0.00011705,0.0197596549987792,0.0197597900000001
76,classification,heart,3,DT,AUC,29,30,None,0.9966875,0.69425,0.00048828125,0.0001370906829833,0.00048811,0.0001372100000001,,
77,classification,heart,3,HS (CART),AUC,29,30,10.0,0.9918125,0.80575,0.0004584789276123,0.0001211166381835,0.0004587700000007,0.00012144,0.0199294090270996,0.0201926099999996
78,classification,heart,3,DT,AUC,31,32,None,0.9995625,0.7595,0.000493049621582,0.0001356601715087,0.0004925599999996,0.0001358900000001,,
79,classification,heart,3,HS (CART),AUC,31,32,10.0,0.9950625,0.81975,0.0004599094390869,0.0001194477081298,0.00046048,0.0001201399999999,0.0195653438568115,0.0195659799999994
80,classification,heart,4,DT,AUC,1,2,None,0.74875,0.76,0.0003070831298828,0.000136375427246,0.0003066800000004,0.0001369399999999,,
81,classification,heart,4,HS (CART),AUC,1,2,25.0,0.74875,0.76,0.0001018047332763,0.0001180171966552,0.0001022800000001,0.0001185299999999,0.0140256881713867,0.01402575
82,classification,heart,4,DT,AUC,3,4,None,0.82725,0.8144999999999999,0.0003328323364257,0.0001389980316162,0.0003326900000004,0.0001396300000005,,
83,classification,heart,4,HS (CART),AUC,3,4,50.0,0.81375,0.8385,0.0001308917999267,0.0001218318939208,0.0001311400000005,0.0001224699999999,0.0155088901519775,0.0155098899999996
84,classification,heart,4,DT,AUC,7,8,None,0.919125,0.86175,0.0004115104675292,0.0001370906829833,0.0004111900000003,0.0001371800000002,,
85,classification,heart,4,HS (CART),AUC,7,8,100.0,0.9105,0.8547499999999999,0.0001883506774902,0.0001261234283447,0.0001893600000002,0.0001267499999997,0.0171976089477539,0.0171842399999997
86,classification,heart,4,DT,AUC,11,12,None,0.946,0.8642500000000001,0.0004770755767822,0.00014328956604,0.0004769800000001,0.00014394,,
87,classification,heart,4,HS (CART),AUC,11,12,25.0,0.934375,0.85625,0.0002229213714599,0.0001156330108642,0.0002233199999999,0.0001159600000004,0.0175602436065673,0.0175599599999998
88,classification,heart,4,DT,AUC,14,15,None,0.9653125,0.85075,0.0004231929779052,0.0001358985900878,0.00042279,0.0001361100000005,,
89,classification,heart,4,HS (CART),AUC,14,15,25.0,0.9474375,0.85425,0.0002615451812744,0.000117540359497,0.0002618099999995,0.0001178499999996,0.0180025100708007,0.0180031400000002
90,classification,heart,4,DT,AUC,19,20,None,0.98,0.8325,0.00048828125,0.0001473426818847,0.0004878999999995,0.0001479699999995,,
91,classification,heart,4,HS (CART),AUC,19,20,1.0,0.97625,0.8707499999999999,0.0005168914794921,0.000169038772583,0.0005179499999998,0.0001698499999998,0.0244345664978027,0.0244379200000004
92,classification,heart,4,DT,AUC,23,24,None,0.9855,0.831,0.0006184577941894,0.0001862049102783,0.0006178099999996,0.0001866499999998,,
93,classification,heart,4,HS (CART),AUC,23,24,25.0,0.964125,0.8707499999999999,0.0003755092620849,0.0001211166381835,0.00037529,0.0001214699999998,0.0209376811981201,0.0209387100000002
94,classification,heart,4,DT,AUC,27,28,None,0.9935,0.76075,0.0004746913909912,0.0001389980316162,0.0004742100000001,0.0001394399999998,,
95,classification,heart,4,HS (CART),AUC,27,28,100.0,0.95425,0.887,0.0004231929779052,0.0001223087310791,0.0004233200000003,0.0001231000000005,0.0199010372161865,0.0199018099999994
96,classification,heart,4,DT,AUC,29,30,None,0.99675,0.8055000000000001,0.0004653930664062,0.0001435279846191,0.0004654099999994,0.0001440199999995,,
97,classification,heart,4,HS (CART),AUC,29,30,10.0,0.98675,0.8892500000000001,0.0004479885101318,0.0001189708709716,0.0004483099999994,0.0001195200000001,0.0199723243713378,0.01997347
98,classification,heart,4,DT,AUC,31,32,None,0.999625,0.81,0.000464916229248,0.0001366138458251,0.0004648000000004,0.0001371299999997,,
99,classification,heart,4,HS (CART),AUC,31,32,0.1,0.999625,0.8952500000000001,0.0004730224609375,0.0001211166381835,0.0004732800000004,0.0001221100000003,0.0217885971069335,0.0217895599999993
100,classification,heart,5,DT,AUC,1,2,None,0.76375,0.7100000000000002,0.0003027915954589,0.0001354217529296,0.0003027900000001,0.0001358399999995,,
101,classification,heart,5,HS (CART),AUC,1,2,50.0,0.76375,0.7100000000000002,0.0001029968261718,0.0001184940338134,0.0001030499999998,0.0001192799999998,0.014115571975708,0.0141162399999998
102,classification,heart,5,DT,AUC,3,4,None,0.866625,0.818,0.0003602504730224,0.0001356601715087,0.0003599900000006,0.0001357999999997,,
103,classification,heart,5,HS (CART),AUC,3,4,25.0,0.866625,0.818,0.0001280307769775,0.0001194477081298,0.0001281500000001,0.0001198599999998,0.0152163505554199,0.0152171299999999
104,classification,heart,5,DT,AUC,7,8,None,0.9265,0.8254999999999999,0.0004396438598632,0.0001223087310791,0.0004390199999999,0.0001226199999999,,
105,classification,heart,5,HS (CART),AUC,7,8,25.0,0.923375,0.8475000000000001,0.0001711845397949,0.0001134872436523,0.0001712000000004,0.0001140099999998,0.0157136917114257,0.0157139099999996
106,classification,heart,5,DT,AUC,11,12,None,0.9571875,0.8302499999999999,0.0003714561462402,0.0001165866851806,0.0003712699999995,0.00011691,,
107,classification,heart,5,HS (CART),AUC,11,12,25.0,0.9458125,0.8347499999999999,0.0002105236053466,0.0001132488250732,0.00021087,0.0001139099999996,0.0168428421020507,0.0168426699999999
108,classification,heart,5,DT,AUC,14,15,None,0.97325,0.84575,0.0003700256347656,0.0001153945922851,0.0003701500000001,0.0001158600000001,,
109,classification,heart,5,HS (CART),AUC,14,15,50.0,0.946125,0.86375,0.000246524810791,0.0001142024993896,0.0002470299999997,0.0001144599999998,0.0175893306732177,0.0175890199999999
110,classification,heart,5,DT,AUC,19,20,None,0.9873125,0.742,0.0003771781921386,0.0001149177551269,0.00037704,0.0001153999999994,,
111,classification,heart,5,HS (CART),AUC,19,20,100.0,0.9494375,0.8487500000000001,0.0003058910369873,0.0001139640808105,0.00030631,0.0001144799999996,0.0186769962310791,0.0186686099999997
112,classification,heart,5,DT,AUC,23,24,None,0.9935625,0.747,0.0003876686096191,0.0001170635223388,0.0003873700000003,0.0001175900000003,,
113,classification,heart,5,HS (CART),AUC,23,24,50.0,0.9750625,0.853,0.0003511905670166,0.0001161098480224,0.0003516899999995,0.0001166599999997,0.01924729347229,0.01924728
114,classification,heart,5,DT,AUC,27,28,None,0.996625,0.69475,0.0003893375396728,0.0001194477081298,0.0003891099999995,0.0001195999999996,,
115,classification,heart,5,HS (CART),AUC,27,28,25.0,0.987375,0.8472500000000001,0.0004026889801025,0.0001158714294433,0.0004032699999996,0.0001162300000006,0.0192713737487792,0.01927125
116,classification,heart,5,DT,AUC,29,30,None,0.996875,0.742,0.0003938674926757,0.0001161098480224,0.0003938699999999,0.0001167100000003,,
117,classification,heart,5,HS (CART),AUC,29,30,10.0,0.990625,0.8619999999999999,0.0004293918609619,0.0001168251037597,0.0004296599999999,0.0001170000000003,0.0197095870971679,0.0198513099999999
118,classification,heart,5,DT,AUC,31,32,None,1.0,0.72,0.0003952980041503,0.0001168251037597,0.0003949699999994,0.0001170099999994,,
119,classification,heart,5,HS (CART),AUC,31,32,1.0,1.0,0.83125,0.0004467964172363,0.0001156330108642,0.0004471999999999,0.0001158000000005,0.0189628601074218,0.0189625900000001
120,classification,heart,6,DT,AUC,1,2,None,0.78,0.7175,0.000256061553955,0.000110387802124,0.0002560799999997,0.0001106999999995,,
121,classification,heart,6,HS (CART),AUC,1,2,25.0,0.78,0.7175,8.96453857421875e-05,0.0001137256622314,9.005000000072982e-05,0.0001141699999998,0.0131568908691406,0.0131566199999992
122,classification,heart,6,DT,AUC,3,4,None,0.8598125000000001,0.7425,0.0003206729888916,0.0001192092895507,0.0003202099999999,0.0001193999999999,,
123,classification,heart,6,HS (CART),AUC,3,4,1.0,0.8598125000000001,0.7425,0.0001146793365478,0.0001158714294433,0.0001149800000002,0.0001164200000003,0.0150656700134277,0.0150653799999993
124,classification,heart,6,DT,AUC,7,8,None,0.911875,0.8034999999999999,0.0003554821014404,0.0001142024993896,0.0003552899999998,0.0001145799999999,,
125,classification,heart,6,HS (CART),AUC,7,8,25.0,0.90325,0.7889999999999999,0.0001599788665771,0.0001096725463867,0.0001604599999991,0.0001104500000002,0.0155920982360839,0.0155922899999998
126,classification,heart,6,DT,AUC,11,12,None,0.94675,0.733,0.0003948211669921,0.0001142024993896,0.0003947100000001,0.0001144499999998,,
127,classification,heart,6,HS (CART),AUC,11,12,1.0,0.9445,0.7395,0.0002193450927734,0.0001223087310791,0.0002197600000002,0.0001226900000004,0.0167682170867919,0.0167633699999996
128,classification,heart,6,DT,AUC,14,15,None,0.956625,0.70675,0.0004017353057861,0.0001156330108642,0.0004013099999999,0.0001159099999998,,
129,classification,heart,6,HS (CART),AUC,14,15,25.0,0.942,0.7645,0.0002436637878417,0.0001134872436523,0.0002440700000008,0.0001140599999995,0.0174884796142578,0.0174882900000001
130,classification,heart,6,DT,AUC,19,20,None,0.9676875,0.71425,0.0004091262817382,0.0001158714294433,0.0004089099999999,0.0001163799999996,,
131,classification,heart,6,HS (CART),AUC,19,20,10.0,0.9514375,0.747,0.0003049373626708,0.0001149177551269,0.0003055199999995,0.0001154599999999,0.018683910369873,0.0186837500000001
132,classification,heart,6,DT,AUC,23,24,None,0.976875,0.72875,0.0004107952117919,0.0001139640808105,0.0004107500000003,0.0001144399999999,,
133,classification,heart,6,HS (CART),AUC,23,24,1.0,0.969875,0.762,0.0003523826599121,0.0001139640808105,0.00035293,0.0001146100000006,0.0192413330078125,0.0192409900000001
134,classification,heart,6,DT,AUC,27,28,None,0.9870625,0.71,0.0004329681396484,0.0001156330108642,0.0004330599999997,0.0001161600000001,,
135,classification,heart,6,HS (CART),AUC,27,28,100.0,0.9495625,0.76275,0.0004069805145263,0.0001144409179687,0.0004071300000001,0.0001146700000003,0.019000768661499,0.0190006399999997
136,classification,heart,6,DT,AUC,29,30,None,0.999,0.7655,0.0004420280456542,0.0001158714294433,0.0004418199999998,0.0001163499999998,,
137,classification,heart,6,HS (CART),AUC,29,30,50.0,0.978375,0.79325,0.0004239082336425,0.0001161098480224,0.0004242699999998,0.0001167400000001,0.0192945003509521,0.0192943100000002
138,classification,heart,6,DT,AUC,31,32,None,0.999875,0.7525,0.0004475116729736,0.0001170635223388,0.0004473900000006,0.0001173100000002,,
139,classification,heart,6,HS (CART),AUC,31,32,50.0,0.978625,0.79325,0.0004580020904541,0.0001173019409179,0.0004581200000002,0.0001178100000007,0.0192251205444335,0.0192255700000005
140,classification,heart,7,DT,AUC,1,2,None,0.78375,0.71,0.0002679824829101,0.0001134872436523,0.0002678899999999,0.0001141699999998,,
141,classification,heart,7,HS (CART),AUC,1,2,25.0,0.78375,0.71,9.27448272705078e-05,0.0001091957092285,9.295999999991976e-05,0.0001094200000002,0.012864351272583,0.0128642800000005
142,classification,heart,7,DT,AUC,3,4,None,0.8663125,0.802,0.0003149509429931,0.000112771987915,0.0003148899999994,0.0001130099999997,,
143,classification,heart,7,HS (CART),AUC,3,4,1.0,0.8663125,0.802,0.0001122951507568,0.0001094341278076,0.0001128599999997,0.0001101400000003,0.0141892433166503,0.0141891699999998
144,classification,heart,7,DT,AUC,7,8,None,0.919375,0.8577499999999999,0.0003385543823242,0.0001132488250732,0.0003385099999997,0.0001137600000005,,
145,classification,heart,7,HS (CART),AUC,7,8,25.0,0.908875,0.86575,0.0001616477966308,0.0001120567321777,0.0001620799999999,0.0001128299999999,0.0154876708984375,0.01548747
146,classification,heart,7,DT,AUC,11,12,None,0.943375,0.867,0.0003602504730224,0.0001161098480224,0.0003600100000005,0.0001166400000007,,
147,classification,heart,7,HS (CART),AUC,11,12,10.0,0.933875,0.87175,0.0002095699310302,0.0001139640808105,0.0002099399999995,0.0001145299999993,0.0189464092254638,0.0189461199999998
148,classification,heart,7,DT,AUC,14,15,None,0.953,0.8185,0.0003669261932373,0.0001158714294433,0.0003668499999998,0.0001165399999996,,
149,classification,heart,7,HS (CART),AUC,14,15,100.0,0.920625,0.84775,0.000244140625,0.0001125335693359,0.0002447400000002,0.0001131699999996,0.0177192687988281,0.0177190599999992
150,classification,heart,7,DT,AUC,19,20,None,0.963375,0.78425,0.0003721714019775,0.000115156173706,0.0003720500000001,0.0001155499999994,,
151,classification,heart,7,HS (CART),AUC,19,20,25.0,0.94525,0.86325,0.0003182888031005,0.0001168251037597,0.0003183900000003,0.0001171499999994,0.0187077522277832,0.0187083000000001
152,classification,heart,7,DT,AUC,23,24,None,0.9839375,0.8295,0.0004236698150634,0.0001163482666015,0.0004236000000004,0.00011705,,
153,classification,heart,7,HS (CART),AUC,23,24,50.0,0.9554375,0.8647499999999999,0.0003583431243896,0.0001156330108642,0.0003588200000006,0.0001161600000001,0.0193328857421875,0.0193273899999999
154,classification,heart,7,DT,AUC,27,28,None,0.990625,0.81,0.0004022121429443,0.000117540359497,0.0004021199999995,0.0001177099999996,,
155,classification,heart,7,HS (CART),AUC,27,28,25.0,0.971625,0.8725,0.0003972053527832,0.0001156330108642,0.0003972999999994,0.0001158700000001,0.0191760063171386,0.0191758699999997
156,classification,heart,7,DT,AUC,29,30,None,0.996,0.6975,0.0004074573516845,0.0001173019409179,0.0004073199999998,0.0001176700000007,,
157,classification,heart,7,HS (CART),AUC,29,30,0.1,0.995625,0.77,0.0007145404815673,0.0001285076141357,0.0008256000000006,0.0001451900000004,0.0192282199859619,0.0193424599999998
158,classification,heart,7,DT,AUC,31,32,None,0.996625,0.8385,0.0004167556762695,0.0001192092895507,0.0004165500000006,0.0001194099999999,,
159,classification,heart,7,HS (CART),AUC,31,32,100.0,0.955625,0.8552500000000001,0.0004541873931884,0.000117540359497,0.0004542,0.0001180199999994,0.019547700881958,0.0195346499999997
160,classification,heart,8,DT,AUC,1,2,None,0.7975,0.6825,0.0002596378326416,0.0001120567321777,0.0002596400000003,0.0001127599999994,,
161,classification,heart,8,HS (CART),AUC,1,2,1.0,0.7975,0.6825,8.606910705566406e-05,0.0001139640808105,8.63400000001846e-05,0.0001144100000001,0.0127997398376464,0.0127997299999993
162,classification,heart,8,DT,AUC,3,4,None,0.8648750000000001,0.7114999999999999,0.0003132820129394,0.000112771987915,0.0003131600000001,0.0001130700000002,,
163,classification,heart,8,HS (CART),AUC,3,4,50.0,0.863375,0.7234999999999999,0.0001106262207031,0.0001091957092285,0.0001111900000001,0.0001096500000006,0.0142409801483154,0.0142411400000002
164,classification,heart,8,DT,AUC,7,8,None,0.9245,0.7385,0.0003795623779296,0.0001142024993896,0.0003791800000003,0.0001146099999997,,
165,classification,heart,8,HS (CART),AUC,7,8,100.0,0.922125,0.7645000000000001,0.000162124633789,0.0001130104064941,0.0001624100000006,0.0001134,0.0156443119049072,0.0156443200000007
